id,created_at,name,description,regular_price,image_url,max_capacity,discount
1,2024-02-28T00:35:55,Deluxe King Room,"A spacious Deluxe King Room featuring a luxurious king-size bed dressed in fine linens, elegant decor, and an ensuite bathroom with complimentary toiletries. This room is perfect for a relaxing stay, offering amenities such as a flat-screen TV, mini-fridge, and coffee maker. Guests can enjoy stunning views of the surrounding area from the large windows, making it ideal for couples or those seeking a bit of indulgence.",316,https://via.placeholder.com/150,4,100
2,2024-06-03T16:59:40,Single Room,"A cozy Single Room designed for solo travelers, offering a comfortable single bed with plush bedding, free Wi-Fi, and a compact work desk. The room is well-appointed with modern decor and comes with a private bathroom featuring a walk-in shower. Ideal for short stays, this room provides a peaceful retreat while being conveniently located near hotel amenities.",538,https://via.placeholder.com/150,2,50
3,2024-02-13T02:16:01,Twin Room,"This modern Twin Room features two separate twin beds, perfect for friends or colleagues traveling together. The room includes an ensuite bathroom, free toiletries, and a cozy seating area. Guests can enjoy a flat-screen TV and complimentary Wi-Fi, making it a comfortable and convenient choice for both leisure and business trips.",301,https://via.placeholder.com/150,2,
4,2024-01-29T21:53:42,Standard Double Room,"A cozy Standard Double Room featuring a comfortable queen-sized bed, elegant furnishings, and an ensuite bathroom. The room is equipped with a flat-screen TV, coffee maker, and complimentary Wi-Fi. Ideal for couples or individuals looking for a charming and affordable stay, this room combines comfort with convenience, allowing guests to relax after a busy day exploring the area.",370,https://via.placeholder.com/150,2,
5,2024-09-08T20:08:27,Superior Double Room,"Bright and spacious, the Superior Double Room boasts a double bed with stylish furnishings and a stunning view of the city. The room features a seating area, flat-screen TV, and a well-appointed bathroom with premium toiletries. This room is perfect for guests who want a bit more space and comfort during their stay, ensuring a delightful experience for both business and leisure travelers.",317,https://via.placeholder.com/150,3,
6,2024-06-01T15:47:16,Family Suite,"An ideal Family Suite designed for families, offering a king-sized bed and a comfortable sofa bed. The suite features a large living space, kitchenette, and a balcony with scenic views. Equipped with family-friendly amenities, including a flat-screen TV and games, this suite ensures a fun and memorable stay for families looking to enjoy their time together in comfort.",597,https://via.placeholder.com/150,3,50
7,2024-03-15T01:14:40,Executive Suite,"Experience luxury in our Executive Suite, which features a king-sized bed, separate living area, and a private balcony. Enjoy a mini-bar stocked with refreshments and premium toiletries in the spacious bathroom. Perfect for business travelers, this suite offers a serene environment, high-speed internet access, and elegant decor, making it an ideal choice for those seeking comfort and sophistication.",313,https://via.placeholder.com/150,3,100
8,2024-04-07T19:23:51,Business Class Room,"Our Business Class Room is designed for the corporate traveler, equipped with a comfortable bed, high-speed internet, and a large work desk. Guests can enjoy access to a business lounge and meeting facilities. The room is modern and well-appointed, ensuring a productive stay while providing all the comforts of home for relaxation at the end of a busy day.",319,https://via.placeholder.com/150,3,50
9,2024-01-17T18:20:46,Presidential Suite,"The Presidential Suite offers the pinnacle of luxury, featuring a king-sized bed, a private terrace with breathtaking views, and a spacious living room. The elegant bathroom includes a jacuzzi for ultimate relaxation. With butler service and high-end amenities, this suite is perfect for those looking for an exceptional and indulgent experience during their stay.",563,https://via.placeholder.com/150,4,50
10,2024-04-03T15:21:17,Junior Suite,"Our spacious Junior Suite offers a king-sized bed, a cozy sitting area, and a private balcony. Equipped with luxury amenities and a modern bathroom, this suite provides a perfect blend of comfort and style. Ideal for couples or individuals seeking a romantic getaway, the Junior Suite ensures a delightful experience in a tranquil setting.",583,https://via.placeholder.com/150,4,100
11,2024-07-04T15:23:31,Basic Single Room,"A practical Basic Single Room designed for budget-conscious travelers. This room features a comfortable single bed, an en-suite bathroom, and free Wi-Fi. With essential amenities, this cozy space is perfect for those seeking a simple yet comfortable stay, making it an excellent choice for short visits.",549,https://via.placeholder.com/150,2,
12,2024-01-29T11:27:18,Panoramic Room,"Enjoy breathtaking views in our Panoramic Room, which features floor-to-ceiling windows and a queen-sized bed. This well-appointed room includes a work desk, free Wi-Fi, and a stylish bathroom with premium amenities. Ideal for both business and leisure travelers, this room combines comfort with stunning surroundings for a memorable stay.",530,https://via.placeholder.com/150,4,50
13,2024-03-26T01:41:49,Luxury King Suite,"The Luxury King Suite is a premium choice featuring a spacious layout with a king-sized bed and a separate living area. Guests can enjoy modern amenities, including a large flat-screen TV and a luxurious bathroom with a rainfall shower. This suite is ideal for those seeking comfort and elegance, providing a relaxing retreat after a busy day.",659,https://via.placeholder.com/150,2,
14,2024-08-23T11:07:02,Standard Family Room,"A family-friendly Standard Family Room featuring two double beds, a cozy TV area, and a mini-fridge. Ideal for family getaways, this room is equipped with everything needed for a comfortable stay, including a spacious bathroom. Located conveniently near hotel amenities, this room ensures a delightful experience for guests of all ages.",594,https://via.placeholder.com/150,4,100
15,2024-05-28T10:29:03,Eco-Friendly Room,"Our Eco-Friendly Room is designed with sustainability in mind, featuring a queen bed, energy-efficient appliances, and eco-friendly toiletries. This room provides a cozy atmosphere while promoting responsible travel. Perfect for green travelers, it offers all the modern comforts without compromising on style or comfort.",489,https://via.placeholder.com/150,2,100
16,2024-06-23T07:30:15,Compact Double Room,"A compact yet comfortable Double Room featuring a double bed, essential amenities, and an ensuite bathroom. This room is perfect for those seeking a budget-friendly option while still enjoying a relaxing environment. Ideal for short stays, it provides guests with everything they need for a pleasant visit.",490,https://via.placeholder.com/150,2,
17,2024-01-13T22:18:37,Romantic Suite,"Create lasting memories in our Romantic Suite, designed for couples. This suite features a king-sized bed, soft ambient lighting, and a luxurious jacuzzi. Perfect for special occasions, it offers an intimate setting with exquisite decor and all the amenities needed for a romantic getaway.",387,https://via.placeholder.com/150,2,
18,2024-04-11T09:38:29,Corner Suite,"The Corner Suite offers panoramic views and a king-sized bed, alongside a spacious living area and modern decor. Guests can relax on their private balcony while enjoying the beautiful scenery. Perfect for extended stays, this suite provides all the comforts of home with a touch of luxury.",597,https://via.placeholder.com/150,4,50
19,2024-08-17T02:42:19,Classic Room,"The Classic Room features elegant decor with a queen-sized bed and a marble bathroom. Equipped with a flat-screen TV and a mini-bar, this room combines timeless style with modern amenities. Ideal for those looking for a charming retreat, it offers comfort and sophistication for an enjoyable stay.",681,https://via.placeholder.com/150,4,
